id,corporateholidayid,corporateholidayphotourl,esid,createdby,createddate,modifiedby,modifieddate,holidaydate,holidayenddate,holidayname,holidaystartdate,holidaystatus,holidaytype,isallday
221,COPHOL-1606103770013,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,7/31/2020,7/31/2020 23:59,HARI RAYA IDUL ADHA 1441 HIJRIAH,7/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
222,COPHOL-1606103770014,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,8/17/2020,8/17/2020 23:59,HARI KEMERDEKAAN RI,8/17/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
223,COPHOL-1606103770015,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/20/2020,8/20/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/20/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
224,COPHOL-1606103770016,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/21/2020,8/21/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
225,COPHOL-1606103770017,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/28/2020,10/28/2020 23:59,MAULID NABI MUHAMMAD SAW,10/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
226,COPHOL-1606103770018,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/29/2020,10/29/2020 23:59,MAULID NABI MUHAMMAD SAW,10/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
227,COPHOL-1606103770019,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:17,EMP-044515,,10/30/2020,10/30/2020 23:59,MAULID NABI MUHAMMAD SAW,10/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
228,COPHOL-1606103770020,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/24/2020,12/24/2020 23:59,HARI RAYA NATAL,12/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
229,COPHOL-1606103770021,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/25/2020,12/25/2020 23:59,HARI RAYA NATAL,12/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
230,COPHOL-1606103770022,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/28/2020,12/28/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
231,COPHOL-1606103770023,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/29/2020,12/29/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
232,COPHOL-1606103770024,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/30/2020,12/30/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
233,COPHOL-1606103770025,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/31/2020,12/31/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
234,COPHOL-1606103770026,,"{""esid"":""ES-1604896687521"",""essubcoID"":""SUBCO-160489668752107"",""esname"":""Bank Artha Graha Bursa Efek Indonesia (KCP)""}",EMP-044515,11/25/2020 10:20,EMP-044515,,1/1/2021,1/1/2021 23:59,TAHUN BARU 2021 MASEHI,1/1/2021 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
235,COPHOL-1606103780001,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/1/2020,1/1/2020 23:59,TAHUN BARU 2020 MASEHI,1/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
236,COPHOL-1606103780002,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/25/2020,1/25/2020 23:59,TAHUN BARU IMLEK 2571 KONGZLI,1/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
237,COPHOL-1606103780003,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,3/22/2020,3/22/2020 23:59,ISRA' MIRAJ NABI MUHAMMAD SAW,3/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
238,COPHOL-1606103780004,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:11,EMP-044515,,3/25/2020,3/25/2020 23:59,HARI RAYA NYEPI TAHUN BARU SAKA 1941,3/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
239,COPHOL-1606103780005,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,4/10/2020,4/10/2020 23:59,WAFAT ISA AL-MASIH,4/10/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
240,COPHOL-1606103780006,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/1/2020,5/1/2020 23:59,HARI BURUH INTERNASIONAL,5/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
241,COPHOL-1606103780007,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
242,COPHOL-1606103780008,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
243,COPHOL-1606103780009,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
244,COPHOL-1606103780010,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
245,COPHOL-1606103780011,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,5/25/2020,5/25/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
246,COPHOL-1606103780012,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,6/1/2020,6/1/2020 23:59,HARI LAHIR PANCASILA,6/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
247,COPHOL-1606103780013,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,7/31/2020,7/31/2020 23:59,HARI RAYA IDUL ADHA 1441 HIJRIAH,7/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
248,COPHOL-1606103780014,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,8/17/2020,8/17/2020 23:59,HARI KEMERDEKAAN RI,8/17/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
249,COPHOL-1606103780015,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/20/2020,8/20/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/20/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
250,COPHOL-1606103780016,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/21/2020,8/21/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
251,COPHOL-1606103780017,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/28/2020,10/28/2020 23:59,MAULID NABI MUHAMMAD SAW,10/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
252,COPHOL-1606103780018,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/29/2020,10/29/2020 23:59,MAULID NABI MUHAMMAD SAW,10/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
253,COPHOL-1606103780019,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:17,EMP-044515,,10/30/2020,10/30/2020 23:59,MAULID NABI MUHAMMAD SAW,10/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
254,COPHOL-1606103780020,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/24/2020,12/24/2020 23:59,HARI RAYA NATAL,12/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
255,COPHOL-1606103780021,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/25/2020,12/25/2020 23:59,HARI RAYA NATAL,12/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
256,COPHOL-1606103780022,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/28/2020,12/28/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
257,COPHOL-1606103780023,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/29/2020,12/29/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
258,COPHOL-1606103780024,,"{""esid"":""ES-1604896943206"",""essubcoID"":""SUBCO-160489694320623"",""esname"":""Bank Artha Graha Suryopranoto (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/30/2020,12/30/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
